,Electrolyte
529,"0.6 M 1,2-dimethyl-3-propylimidazolium iodide (DMPII), 0.1 M LiI and 0.05 M I2 in acetonitrile and 4-tert-butylpyridine (volume ratio, 1:1)"
530,"0.6 M 1,2-dimethyl-3-propylimidazolium iodide (DMPII), 0.1 M LiI and 0.05 M I2 in acetonitrile and 4-tert-butylpyridine (volume ratio, 1:1)"
531,"0.6 M 1,2-dimethyl-3-propylimidazolium iodide (DMPII), 0.1 M LiI and 0.05 M I2 in acetonitrile and 4-tert-butylpyridine (volume ratio, 1:1)"
532,"1-butyl-3-methylimidazolium iodide (0.7 M), lithium iodide (LiI, 0.2 M), iodine (I2, 0.05 M), and t-butylpyridine (TBP, 0.5 M) in acetonitrile/valeronitrile (85:15, v/v)"
533,"1-butyl-3-methylimidazolium iodide (0.7 M), lithium iodide (LiI, 0.2 M), iodine (I2, 0.05 M), and t-butylpyridine (TBP, 0.5 M) in acetonitrile/valeronitrile (85:15, v/v)"
534,"1-butyl-3-methylimidazolium iodide (0.7 M), lithium iodide (LiI, 0.2 M), iodine (I2, 0.05 M), and t-butylpyridine (TBP, 0.5 M) in acetonitrile/valeronitrile (85:15, v/v)"
535,"1-butyl-3-methylimidazolium iodide (0.7 M), 4 lithium iodide (LiI, 0.2 M), iodine (I2, 0.05 M), and t-butylpyridine (TBP, 0.5 M) in acetonitrile/valeronitrile (85:15, v/v)"
536,"1-butyl-3-methylimidazolium iodide (0.7 M), 4 lithium iodide (LiI, 0.2 M), iodine (I2, 0.05 M), and t-butylpyridine (TBP, 0.5 M) in acetonitrile/valeronitrile (85:15, v/v)"
537,"0.6 M 1-propyl-2,3-dimethyl-imidazolium iodide, 0.05 (M) LiI, 0.05 (M) I2, and 0.5 (M) 4-tertbutylpyridine in acetonitrile/valeronitrile solution (v/v 1:1)"
538,"0.0383 g of P25 TiO2 powder, 0.1 g of LiI, 0.019 g of I2, 0.264 g of poly(ethylene oxide) (PEO) and 44L of 4-tert-butyl-pyridine (TBP) in 1:1 accetonitrile/propylene carbonate"
539,"0.6 M 1-butyl-3-methylimidazolium iodide (BMII), 30 mM I2, 50 mM LiI, 0.5 M tert-butylpyridine and 0.1 M guanidiniumthiocyanate (GuNCS) in a mixed acetonitrile and valeronitrile (85:15, V/V)"
540,"0.6 M 1-butyl-3-methylimidazolium iodide (BMII), 30 mM I2, 50 mM LiI, 0.5 M tert-butylpyridine and 0.1 M guanidiniumthiocyanate (GuNCS) in a mixed acetonitrile and valeronitrile (85:15, V/V)"
541,"0.6 M 1-butyl-3-methylimidazolium iodide (BMII), 30 mM I2, 50 mM LiI, 0.5 M tert-butylpyridine and 0.1 M guanidiniumthiocyanate (GuNCS) in a mixed acetonitrile and valeronitrile (85:15, V/V)"
542,"0.1 M LiI, 0.05 M I2, 0.6 M DMPII, 0.5 M TBP in ACN and MPN solvent mixture (1:1 v/v)"
543,"0.1 M LiI, 0.05 M I2, 0.6 M DMPII, 0.5 M TBP in ACN and MPN solvent mixture (1:1 v/v)"
544,"0.1 M LiI, 0.05 M I2, 0.6 M DMPII, 0.5 M TBP in ACN and MPN solvent mixture (1:1 v/v)"
545,"0.1 M LiI, 0.05 M I2, 0.6 M DMPII, 0.5 M TBP in ACN and MPN solvent mixture (1:1 v/v)"
546,"I2 0.05 M, LiI 0.1 M, DMPII 0.6 M, and TBP 0.5 M in acetonitrile"
547,"0.05 M LiI, 0.1 M I2, 0.6 M DMPImI and TBP in 3-methoxypropionitrile + 5 wt % poly(vinylidenefluoride-co-hexafluoropropylene)"
548,"0.05 M LiI, 0.1 M I2, 0.6 M DMPImI and TBP in 3-methoxypropionitrile + 5 wt % poly(vinylidenefluoride-co-hexafluoropropylene)"
549,"0.05 M LiI, 0.1 M I2, 0.6 M DMPImI and TBP in 3-methoxypropionitrile + 5 wt % poly(vinylidenefluoride-co-hexafluoropropylene)"
550,"0.05 M LiI, 0.1 M I2, 0.6 M DMPImI and TBP in 3-methoxypropionitrile + 5 wt % poly(vinylidenefluoride-co-hexafluoropropylene)"
551,"0.05 M LiI, 0.1 M I2, 0.6 M DMPImI and TBP in 3-methoxypropionitrile"
552,"0.05 M LiI, 0.1 M I2, 0.6 M DMPImI and TBP in 3-methoxypropionitrile"
553,"0.05 M LiI, 0.1 M I2, 0.6 M DMPImI and TBP in 3-methoxypropionitrile"
554,"0.05 M LiI, 0.1 M I2, 0.6 M DMPImI and TBP in 3-methoxypropionitrile"
555,"0.05 M LiI, 0.1 M I2, 0.6 M DMPImI and TBP in 3-methoxypropionitrile"
556,"0.05 M LiI, 0.1 M I2, 0.6 M DMPImI and TBP in 3-methoxypropionitrile"
557,"0.3 M DMPII, 0.1 M LiI, 0.05 M I2 and 0.5 M 4-tert-butylpyridine"
558,"0.3 M DMPII, 0.1 M LiI, 0.05 M I2 and 0.5 M 4-tert-butylpyridine"
559,"0.3 M DMPII, 0.1 M LiI, 0.05 M I2 and 0.5 M 4-tert-butylpyridine"
560,"3-propyl-1-methyl-imidazolium iodide (PMII, 0.7 M), lithium iodide (LiI, 0.2 M), iodine (I2 , 0.05 M), t-butylpyridine (TBP, 0.5 M) in acetonitrile/valeronitrile (85:15)"
561,"3-propyl-1-methyl-imidazolium iodide (PMII, 0.7 M), lithium iodide (LiI, 0.2 M), iodine (I2 , 0.05 M), t-butylpyridine (TBP, 0.5 M) in acetonitrile/valeronitrile (85:15)"
562,"0.6 M 1,2-dimethyl-3-methylimidazolium iodide, 0.1 M LiI, 0.05 M I2 , 0.5 M TBP, 4-tert-butylpyridine, and 0.05 mM GUSCN (guanidine thiocyanate) in dry acetonitrile"
563,"0.5 M lithium iodide (LiI), 0.05 M iodine (I2), and 0.5 M 4-tert-butylpyridine in acetonitrile"
564,"0.5 M lithium iodide (LiI), 0.05 M iodine (I2), and 0.5 M 4-tert-butylpyridine in acetonitrile"
565,"0.6 M DMPII, 0.1 M LiI, 0.1 M I2 in CH3CN"
566,"0.6 M DMPII, 0.1 M LiI, 0.1 M I2 in CH3CN"
567,"0.6 M DMPII, 0.1 M LiI, 0.1 M I2 in CH3CN"
568,"0.6 M BMII, 0.05 M I2, 0.1 M LiI, and 0.5 M TBP in acetonitrile"
569,"0.6 M BMII, 0.05 M I2, 0.1 M LiI, and 0.5 M TBP in acetonitrile"
570,"0.6 M BMII, 0.05 M I2, 0.1 M LiI, and 0.5 M TBP in acetonitrile"
571,"0.6 M 1-butyl-3-methylimidazolium iodide (BMII), 30 mM I2, 50 mM LiI, 0.5 M tert-butylpyridine and 0.1 M guanidiniumthiocyanate (GuNCS) in a mixed acetonitrile and valeronitrile (85:15, V/V)"
572,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in acetonitrile with 0.5 M 4-tertbutylpyridine"
573,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in acetonitrile with 0.5 M 4-tertbutylpyridine"
574,"0.6 M DMPImI, 0.1 M LiI, 0.05 M I2 in CH3CN"
575,"0.6 M DMPImI, 0.1 M LiI, 0.05 M I2 in CH3CN"
576,"0.6 M DMPImI, 0.1 M LiI, 0.05 M I2 in CH3CN"
577,"0.6 M DMPImI, 0.1 M LiI, 0.05 M I2 in CH3CN"
578,iodide/triiodide
579,iodide/triiodide
580,iodide/triiodide
581,0.6 M DMPImI + 0.1 M LiI + 0.05 M I2 + 0.5 M TBP in MPN
582,"0.1 M LiI, 0.03 M I2, 0.6 M 1-methyl-3-propylimidazolium iodide, and 0.5 M tert-butylpyridine in dry acetonitrile"
583,"0.1 M LiI, 0.03 M I2, 0.6 M 1-methyl-3-propylimidazolium iodide, and 0.5 M tert-butylpyridine in dry acetonitrile"
584,iodide/triiodide
585,iodide/triiodide
586,iodide/triiodide
587,"0.1 mol/L LiI, 0.05  mol/L I2, 0.6 mol/L DMPII, 0.5 mol/L tert-butylpyridine (TBP) in acetonitile (ACN)"
588,"0.6 M 1,2–dimethyl–3-n–propylimidazolium iodide (DMPImI), 0.1 M LiI, 0.05 M I2, and 0.5 M tertbutylpyridine (TBP) in acetonitrile"
589,"0.6 M 1,2–dimethyl–3-n–propylimidazolium iodide (DMPImI), 0.1 M LiI, 0.05 M I2, and 0.5 M tertbutylpyridine (TBP) in acetonitrile"
590,iodide/triiodide
591,iodide/triiodide
592,"0.3 M 1,2-dimethyl-3-propylimidazolium iodide (DMPII), 0.1 M LiI, 0.05 M I2 , and 0.5 M 4-tert-butyl pyridine in acetonitrile"
593,"0.3 M 1,2-dimethyl-3-propylimidazolium iodide (DMPII), 0.1 M LiI, 0.05 M I2 , and 0.5 M 4-tert-butyl pyridine in acetonitrile"
594,"0.3 M 1,2-dimethyl-3-propylimidazolium iodide (DMPII), 0.1 M LiI, 0.05 M I2 , and 0.5 M 4-tert-butyl pyridine in acetonitrile"
595,iodide/triiodide
596,iodide/triiodide
597,iodide/triiodide
598,iodide/triiodide
599,iodide/triiodide
600,"0.6 M 1, 2- dimethyl-3-propylimidazolium iodide (DMPII), 0.025 M LiI, 0.04 M I2 , 0.05 M guanidium thiocyanate (GuSCN), and 0.28 M 4- tertbutylpyridine (TBP) in dry acetonitrile"
601,"0.6 M 1, 2- dimethyl-3-propylimidazolium iodide (DMPII), 0.025 M LiI, 0.04 M I2 , 0.05 M guanidium thiocyanate (GuSCN), and 0.28 M 4- tertbutylpyridine (TBP) in dry acetonitrile"
602,"0.6 M 1, 2- dimethyl-3-propylimidazolium iodide (DMPII), 0.025 M LiI, 0.04 M I2 , 0.05 M guanidium thiocyanate (GuSCN), and 0.28 M 4- tertbutylpyridine (TBP) in dry acetonitrile"
603,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in acetonitrile with 0.5 M 4-tertbutylpyridine"
604,iodide/triiodide
605,"1-butyl-3-methylimidazolium iodide (0.7 M), lithium iodide (LiI, 0.2 M), iodine (I2, 0.05 M), and t-butylpyridine (TBP, 0.5 M) in acetonitrile/valeronitrile (85:15, v/v)"
606,"1-propyl-2,3-dimethylimidazolium iodide (1.2 M),  iodine (0.035 M), tert-butylpyridine (0.5 M) and guanidine thiocyanate (0.1 M) dissolved in acetonitrile/3-methoxypropionitrile mixture (8:2)"
607,"0.6 M 1,2-dimethyl-3-propylimidazolium iodide (DMPII), 0.1 M LiI, and 0.1 M I2 in CH3CN"
608,"0.6 M 1,2–dimethyl–3-n–propylimidazolium iodide (DMPImI), 0.1 M LiI, 0.05 M I2, and 0.5 M tertbutylpyridine (TBP) in acetonitrile"
609,"0.6 M 1,2–dimethyl–3-n–propylimidazolium iodide (DMPImI), 0.1 M LiI, 0.05 M I2, and 0.5 M tertbutylpyridine (TBP) in acetonitrile"
610,"0.6 M 1-propyl-2,3-dimethyl-imidazolium iodide, 0.05 (M) LiI, 0.05 (M) I2, and 0.5 (M) 4-tertbutylpyridine in acetonitrile/valeronitrile solution (v/v 1:1)"
611,"0.6 M 1-propyl-2,3-dimethyl-imidazolium iodide, 0.05 (M) LiI, 0.05 (M) I2, and 0.5 (M) 4-tertbutylpyridine in acetonitrile/valeronitrile solution (v/v 1:1)"
612,0.6 M of N-methyl-N-butylimidazolium iodide (BMII) + 0.1 M of LiI + 0.05 M of I2 + 0.5 M of 4-tert-butylpyridine (TBP) in acetonitrile
613,0.6 M of N-methyl-N-butylimidazolium iodide (BMII) + 0.1 M of LiI + 0.05 M of I2 + 0.5 M of 4-tert-butylpyridine (TBP) in acetonitrile
614,"0.05 M iodine, 0.5 M lithium iodide in propylene carbonate"
615,"0.05 M iodine, 0.5 M lithium iodide in propylene carbonate"
616,"0.05 M iodine, 0.5 M lithium iodide in propylene carbonate"
617,"0.05 M iodine, 0.5 M lithium iodide in propylene carbonate"
618,"0.05 M iodine, 0.5 M lithium iodide in propylene carbonate"
619,"0.05 M iodine, 0.5 M lithium iodide in propylene carbonate"
620,"0.05 M iodine, 0.5 M lithium iodide in propylene carbonate"
621,"0.05 M iodine, 0.5 M lithium iodide in propylene carbonate"
622,"0.05 M iodine, 0.5 M lithium iodide in propylene carbonate"
623,"0.05 M iodine, 0.5 M lithium iodide in propylene carbonate"
624,"0.05 M iodine, 0.5 M lithium iodide in propylene carbonate"
625,"0.1 M LiI, 0.6 M 1,2-dimethyl-3-propylimidazoliumiodide, 0.2 M I2, and 0.5 M 4-tert-butylpyridine in3-methoxypropionitrile"
626,"0.1 M LiI, 0.6 M 1,2-dimethyl-3-propylimidazoliumiodide, 0.2 M I2, and 0.5 M 4-tert-butylpyridine in3-methoxypropionitrile"
627,"0.1 M LiI, 0.6 M 1,2-dimethyl-3-propylimidazoliumiodide, 0.2 M I2, and 0.5 M 4-tert-butylpyridine in3-methoxypropionitrile"
628,"0.1 M LiI, 0.6 M 1,2-dimethyl-3-propylimidazoliumiodide, 0.2 M I2, and 0.5 M 4-tert-butylpyridine in3-methoxypropionitrile"
629,"0.1 M LiI, 0.6 M 1,2-dimethyl-3-propylimidazoliumiodide, 0.2 M I2, and 0.5 M 4-tert-butylpyridine in3-methoxypropionitrile"
630,I2 (0.05 M)/LiI (0.1 M)/tetrapropylammonium iodide (0.4 M)/4-tert-butylpyridine (0.4 M) in a valeronitrile/acetonitrile 15:85 (v/v)
631,I2 (0.05 M)/LiI (0.1 M)/tetrapropylammonium iodide (0.4 M)/4-tert-butylpyridine (0.4 M) in a valeronitrile/acetonitrile 15:85 (v/v)
632,I2 (0.05 M)/LiI (0.1 M)/tetrapropylammonium iodide (0.4 M)/4-tert-butylpyridine (0.4 M) in a valeronitrile/acetonitrile 15:85 (v/v)
633,"0.05M I2, 0.5M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPI) and 0.5Mlithium iodide (LiI) in methoxypropionitrile (MPN)"
634,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in acetonitrile with 0.5 M 4-tertbutylpyridine"
635,"1,2-dimethyl-3-propylimidazolium iodide (0.6 M), LiI (0.1 M), tert-butylpyridine (0.5 M) and I2 (0.05 M) in acetonitrile"
636,"1,2-dimethyl-3-propylimidazolium iodide (0.6 M), LiI (0.1 M), tert-butylpyridine (0.5 M) and I2 (0.05 M) in acetonitrile"
637,"1,2-dimethyl-3-propylimidazolium iodide (0.6 M), LiI (0.1 M), tert-butylpyridine (0.5 M) and I2 (0.05 M) in acetonitrile"
638,"1,2-dimethyl-3-propylimidazolium iodide (0.6 M), LiI (0.1 M), tert-butylpyridine (0.5 M) and I2 (0.05 M) in acetonitrile"
639,"1,2-dimethyl-3-propylimidazolium iodide (0.6 M), LiI (0.1 M), tert-butylpyridine (0.5 M) and I2 (0.05 M) in acetonitrile"
640,0.03 m I2/0.6 m LiI/0.1 m guanidinium thiocyanate/0.5 m tert-butylpyridine in a 15:85 (v/v) benzonitrile/acetonitrile solution
641,0.03 m I2/0.6 m LiI/0.1 m guanidinium thiocyanate/0.5 m tert-butylpyridine in a 15:85 (v/v) benzonitrile/acetonitrile solution
642,0.03 m I2/0.6 m LiI/0.1 m guanidinium thiocyanate/0.5 m tert-butylpyridine in a 15:85 (v/v) benzonitrile/acetonitrile solution
643,0.03 m I2/0.6 m LiI/0.1 m guanidinium thiocyanate/0.5 m tert-butylpyridine in a 15:85 (v/v) benzonitrile/acetonitrile solution
644,0.03 m I2/0.6 m LiI/0.1 m guanidinium thiocyanate/0.5 m tert-butylpyridine in a 15:85 (v/v) benzonitrile/acetonitrile solution
645,0.6 M DMPImI + 0.1 M LiI + 0.05 M I2 + 0.5 M TBP in MPN
646,"0.02 M LiI + 0.04 M I2 + 0.6 M MBII 0.28 M TBP + 0.05 M guanidine thiocyanate (volume ratio, 7:3)"
647,"0.02 M LiI + 0.04 M I2 + 0.6 M MBII 0.28 M TBP + 0.05 M guanidine thiocyanate (volume ratio, 7:3)"
648,"0.02 M LiI + 0.04 M I2 + 0.6 M MBII 0.28 M TBP + 0.05 M guanidine thiocyanate (volume ratio, 7:3)"
649,"0.02 M LiI + 0.04 M I2 + 0.6 M MBII 0.28 M TBP + 0.05 M guanidine thiocyanate (volume ratio, 7:3)"
650,"0.9 M 1,2-dimethyl-3-butylimidazolium bromide (DMBIBr), 0.08 M Br2, and 0.5 M TBP electrolyte in dried CH3CN"
651,"0.9 M DMBIBr, 0.8 M LiBr, 0.08 M Br2, and 0.5 M TBP electrolyte in dried CH3CN"
652,"0.6 M 1,2-dimethyl-3-propylimidazolium iodide (DMPII), 0.06 M LiI, 0.04 M I2, and 0.4 M TBP in dried CH3CN"
653,"0.9 M 1,2-dimethyl-3-butylimidazolium bromide (DMBIBr), 0.08 M Br2, and 0.5 M TBP electrolyte in dried CH3CN"
654,"0.9 M DMBIBr, 0.8 M LiBr, 0.08 M Br2, and 0.5 M TBP electrolyte in dried CH3CN"
655,"0.6 M 1,2-dimethyl-3-propylimidazolium iodide (DMPII), 0.06 M LiI, 0.04 M I2, and 0.4 M TBP in dried CH3CN"
656,"1-propyl-2,3-dimethylimidazolium iodide (1.2 M), iodine (0.035 M), tert-butylpyridine (0.5 M) and guanidine thiocyanate (0.1 M) dissolved in acetonitrile/3-methoxypropionitrile mixture (8:2)"
657,"1-propyl-2,3-dimethylimidazolium iodide (1.2 M), iodine (0.035 M), tert-butylpyridine (0.5 M) and guanidine thiocyanate (0.1 M) dissolved in acetonitrile/3-methoxypropionitrile mixture (8:2)"
658,"1-propyl-2,3-dimethylimidazolium iodide (1.2 M), iodine (0.035 M), tert-butylpyridine (0.5 M) and guanidine thiocyanate (0.1 M) dissolved in acetonitrile/3-methoxypropionitrile mixture (8:2)"
659,"1-propyl-2,3-dimethylimidazolium iodide (1.2 M), iodine (0.035 M), tert-butylpyridine (0.5 M) and guanidine thiocyanate (0.1 M) dissolved in acetonitrile/3-methoxypropionitrile mixture (8:2)"
660,"0.1M LiI, 0.6M 1,2-dimethyl-3-propanediol (DMPImI), 0.05M I2, and 0.5M 4-tert-butylpyridine (tBP) in CH3CN"
661,"0.1M LiI, 0.6M 1,2-dimethyl-3-propanediol (DMPImI), 0.05M I2, and 0.5M 4-tert-butylpyridine (tBP) in CH3CN"
662,"0.1M LiI, 0.6M 1,2-dimethyl-3-propanediol (DMPImI), 0.05M I2, and 0.5M 4-tert-butylpyridine (tBP) in CH3CN"
663,"0.1 M LiI, 0.6 M 1-propyl-2,3-dimethylimidazolium iodide (DMPII), 0.05 M I 2 , and 0.5 M tert-butylpyridine (TBP) in a 1:1 solvent mixture of acetonitrile/3-methoxypropionitrile"
664,"0.1 M LiI, 0.6 M 1,2-dimethyl-3-propylimidazoliumiodide, 0.2 M I2, and 0.5 M 4-tert-butylpyridine in3-methoxypropionitrile"
665,"0.05M I2, 0.5M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPI) and 0.5Mlithium iodide (LiI) in methoxypropionitrile (MPN)"
666,"0.1 M LiI, 0.6 M 1-propyl-2,3-dimethylimidazolium iodide (DMPII), 0.05 M I 2 , and 0.5 M tert-butylpyridine (TBP) in a 1:1 solvent mixture of acetonitrile/3-methoxypropionitrile"
667,"0.1 M LiI, 0.6 M 1-propyl-2,3-dimethylimidazolium iodide (DMPII), 0.05 M I 2 , and 0.5 M tert-butylpyridine (TBP) in a 1:1 solvent mixture of acetonitrile/3-methoxypropionitrile"
668,"0.1 M LiI, 0.6 M 1-propyl-2,3-dimethylimidazolium iodide (DMPII), 0.05 M I 2 , and 0.5 M tert-butylpyridine (TBP) in a 1:1 solvent mixture of acetonitrile/3-methoxypropionitrile"
669,"0.1 M LiI, 0.6 M 1-propyl-2,3-dimethylimidazolium iodide (DMPII), 0.05 M I 2 , and 0.5 M tert-butylpyridine (TBP) in a 1:1 solvent mixture of acetonitrile/3-methoxypropionitrile"
670,"0.6 M 1,2-dimethyl-3-propylimidazolium iodide (DMPII), 0.025 M LiI, 0.04 MI 2 , 0.05 M guanidium thiocyanate (GuSCN), and 0.28 M 4-tertbutylpyridine (TBP) in dry acetonitrile"
671,"0.6 M tetrabutylammonium iodide (TBAI), 0.1 M LiI, 0.05 M I2 , 0.6 M DMPII, and 0.5 M 4-tert-
butylpyridine (TBP) in dry acetonitrile (ACN)"
672,"0.6 M 1,2-dimethyl-3-propylimidazolium iodide (DMPII), 0.025 M LiI, 0.04 MI 2 , 0.05 M guanidium thiocyanate (GuSCN), and 0.28 M 4-tertbutylpyridine (TBP) in dry acetonitrile"
673,0.6 M DMPImI + 0.1 M LiI + 0.05 M I2 + 0.5 M TBP in MPN
674,"0.6 M dimethylpropyl-imidazolium iodide (DMPII), 0.2 M I2, 0.1M LiI and 0.5 M tert-butylpyridine (TBP) in acetonitrile (AN)"
675,"0.6 M dimethylpropyl-imidazolium iodide (DMPII), 0.05 M I2, 0.1M LiI and 0.5 M tert-butylpyridine (TBP) in acetonitrile (AN)"
676,"0.6 M dimethylpropyl-imidazolium iodide (DMPII), 0.05 M I2, 0.1M LiI and 0.5 M tert-butylpyridine (TBP) in acetonitrile (AN)"
677,"0.6 M dimethylpropyl-imidazolium iodide (DMPII), 0.05 M I2, 0.1M LiI and 0.5 M tert-butylpyridine (TBP) in acetonitrile (AN)"
678,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI) + 0.1 M LiI + 0.2 M I2 + 0.5 M 4-tert-butylpyridine (TBP) in acetonitrile (AN)"
679,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI) + 0.1 M LiI + 0.2 M I2 + 0.5 M 4-tert-butylpyridine (TBP) in acetonitrile (AN)"
680,"LiI (0.1 g), I2 (0.019 g), propylene carbonate (5 mL), P25 TiO2 (0.0383 g), PEO (0.2648 g), and 4-tert-butylpyridine (0.044 mL) into acetonitrile (5 mL) solvent"
681,"0.3M DMPII, 0.1M LiI, 0.05M I2, and 0.5M 4-tertbutyl pyridine in acetonitrile"
682,"0.3M DMPII, 0.1M LiI, 0.05M I2, and 0.5M 4-tertbutyl pyridine in acetonitrile"
683,"0.3M DMPII, 0.1M LiI, 0.05M I2, and 0.5M 4-tertbutyl pyridine in acetonitrile"
684,spiro-MeOTAD as hole-transporting material
685,"0.1 mol/L LiI, 0.05  mol/L I2, 0.6 mol/L DMPII, 0.5 mol/L tert-butylpyridine (TBP) in acetonitile (ACN)"
686,"0.05 M iodine, 0.1 M lithium iodide, and 0.6 M 1,2-dimethyl-3-propylimidazolium iodide in acetonitrile"
687,"0.05 M iodine, 0.1 M lithium iodide, and 0.6 M 1,2-dimethyl-3-propylimidazolium iodide in acetonitrile"
688,spiro-MeOTAD as hole-transporting material
689,spiro-MeOTAD as hole-transporting material
690,spiro-MeOTAD as hole-transporting material
691,spiro-MeOTAD as hole-transporting material
692,"0.8 M 1-methyl-3-propyl imidazolium iodide (PMII), 0.1 M lithium iodide (LiI), 0.05 M iodine (I2), and 0.5 M 4-tert-butylpyridine dissolved in acetonitrile"
693,"0.8 M 1-methyl-3-propyl imidazolium iodide (PMII), 0.1 M lithium iodide (LiI), 0.05 M iodine (I2), and 0.5 M 4-tert-butylpyridine dissolved in acetonitrile"
694,"0.8 M 1-methyl-3-propyl imidazolium iodide (PMII), 0.1 M lithium iodide (LiI), 0.05 M iodine (I2), and 0.5 M 4-tert-butylpyridine dissolved in acetonitrile"
695,solid organic ionic conductors
696,solid organic ionic conductors
697,"0.1M LiI, 0.6M 1,2-dimethyl-3-propanediol (DMPImI), 0.05M I2, and 0.5M 4-tert-butylpyridine (tBP) in CH3CN"
698,"0.1 M LiI, 0.6 M DMPII, 0.05 M I2, and 0.5 M TBP in 3-methoxypropionitrile (MPN)/ACN (volume ratio of 1:1)"
699,"0.1 M LiI, 0.6 M DMPII, 0.05 M I2, and 0.5 M TBP in 3-methoxypropionitrile (MPN)/ACN (volume ratio of 1:1)"
700,"0.1 M LiI, 0.6 M DMPII, 0.05 M I2, and 0.5 M TBP in 3-methoxypropionitrile (MPN)/ACN (volume ratio of 1:1)"
701,"0.1 M LiI, 0.6 M DMPII, 0.05 M I2, and 0.5 M TBP in 3-methoxypropionitrile (MPN)/ACN (volume ratio of 1:1)"
702,"0.1 M LiI, 0.6 M DMPII, 0.05 M I2, and 0.5 M TBP in 3-methoxypropionitrile (MPN)/ACN (volume ratio of 1:1)"
703,0.6 M DMPImI + 0.1 M LiI + 0.05 M I2 + 0.5 M TBP in MPN
704,0.6 M DMPImI + 0.1 M LiI + 0.05 M I2 + 0.5 M TBP in MPN
705,0.6 M DMPImI + 0.1 M LiI + 0.2 M I2 + 0.5 M TBP in MPN
706,0.6 M DMPImI + 0.1 M LiI + 0.2 M I2 + 0.5 M TBP in MPN
707,0.6 M DMPImI + 0.1 M LiI + 0.2 M I2 + 0.5 M TBP in MPN
708,0.6 M DMPImI + 0.1 M LiI + 0.05 M I2 + 0.5 M TBP in AN
709,0.6 M DMPImI + 0.1 M LiI + 0.2 M I2 + 0.5 M TBP in AN
710,0.6 M DMPImI + 0.1 M LiI + 0.05 M I2 + 0.5 M TBP in acetonitrile
711,0.6 M DMPImI + 0.1 M LiI + 0.05 M I2 + 0.5 M TBP in acetonitrile
712,0.6 M DMPImI + 0.1 M LiI + 0.05 M I2 + 0.5 M TBP in acetonitrile
713,0.6 M DMPImI + 0.1 M LiI + 0.05 M I2 + 0.5 M TBP in acetonitrile
714,0.6 M DMPImI + 0.1 M LiI + 0.05 M I2 + 0.5 M TBP in acetonitrile
715,0.6 M DMPImI + 0.1 M LiI + 0.05 M I2 + 0.5 M TBP in acetonitrile
716,0.6 M DMPImI + 0.1 M LiI + 0.05 M I2 + 0.5 M TBP in acetonitrile
717,"0.3 M 1,2-dimethyl-3-propylimidazolium iodide (DMPII), 0.03 M I2 , 0.07 M LiI, 0.1 M guandine thiocyanate, and 0.4 M 4-tert-butylpyridine
(TBP)"
718,"0.6 M 1,3-dimethylimidazolium iodide (DMII), 50 mM LiI, 30 mM I 2 , 0.5 M tert-butylpyridine and 0.1 M guanidinium thiocyanate (GuNCS) in a solvent mixture of acetonitrile and valeronitrile (85:15)"
719,"0.6 M 1-methyl-3-propylimidazolium iodide (PMII), 0.10 M guanidinium thiocyanate, 0.03 M I 2 , 0.5 M tert-butylpyridine in acetonitrile, and valeronitrile (85 : 15)"
720,"0.6 M 1-methyl-3-propylimidazolium iodide (PMII), 0.10 M guanidinium thiocyanate, 0.03 M I 2 , 0.5 M tert-butylpyridine in acetonitrile, and valeronitrile (85 : 15)"
721,solid organic ionic conductors
722,solid organic ionic conductors
723,"I2 0.05 M, LiI 0.1 M, DMPII 0.6 M, and TBP 0.5 M in acetonitrile"
724,"1 M 1-methyl-3-propylimidazolium iodide (PMII), 0.03 M I2 , 0.05 M LiI, 0.5 M 4-tert-butylpyridine (4-TBP), 0.1 M guadinium thiocyanate (GNCS) in a mixture of acetonitrile and valeronitrile (8.5:1.5, v/v)"
725,"1 M 1-methyl-3-propylimidazolium iodide (PMII), 0.03 M I2 , 0.05 M LiI, 0.5 M 4-tert-butylpyridine (4-TBP), 0.1 M guadinium thiocyanate (GNCS) in a mixture of acetonitrile and valeronitrile (8.5:1.5, v/v)"
726,"1 M 1-methyl-3-propylimidazolium iodide (PMII), 0.03 M I2 , 0.05 M LiI, 0.5 M 4-tert-butylpyridine (4-TBP), 0.1 M guadinium thiocyanate (GNCS) in a mixture of acetonitrile and valeronitrile (8.5:1.5, v/v)"
727,"1 M 1-methyl-3-propylimidazolium iodide (PMII), 0.03 M I2 , 0.05 M LiI, 0.5 M 4-tert-butylpyridine (4-TBP), 0.1 M guadinium thiocyanate (GNCS) in a mixture of acetonitrile and valeronitrile (8.5:1.5, v/v)"
